achievement_count,athlete_count,athlete.id,athlete.resource_state,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,manual,map.id,map.resource_state,map.summary_polyline,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,start_date,start_date_local,start_latitude,start_latlng1,start_latlng2,start_longitude,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,average_cadence,average_temp,average_watts,device_watts,gear_id,kilojoules,location_country,max_watts,suffer_score,weighted_average_watts,workout_type
0,2,16188172,1,17.0388,0,FALSE,FALSE,51.239,13379,1089.9,0.2,43.880281,7.773888,FB47C84D-CA17-4D36-B5B4-FEFD788C9689,FALSE,FALSE,FALSE,FALSE,FALSE,656203152,1,FALSE,a656203152,2,eqyjGgfmn@jH|AmFoExC@qJnQwAkLyGnCaUd^YrR}Lr`@K|ReKzMuDmAfCzBy@bEkDwDX~Sq@gFuObCbIrGaFtTIgMqDeCbBlBuC|LdBzTmDrSwCjIUuQqE`XgGtEfDt@H`EbF_@mFdFgIsCzGpM}J{CzFvIwB`N~CnDdZo\lb@oQbOhHvPSm@uLrNq]hKIrFhGfDuKdFi@bBiQtJzFjAySiD{TnPxO`LuStKdKrJeFjE`P`IqBzRbd@zQiG|@fK|GzKqFij@`DbEjMrV~BfOcZlg@qNtKbRrDjHxT`H|BzAbOzPfJmL_PzDiWoOcO`OyTBuItM_D|CwMvPaWeHoAnMgCz@zC{Kr^bVu\rGkd@Yf`@fAaT`@zIbImf@|Pkf@ba@c\rFgQNbQx@wJ~H}E{AiKqC@rKeDrU_\`XyQi_@bTqP~BlUoWvVcEbC{HuE}\vGgHgFsj@bBid@iO}c@sAcTfJ_iAzZsdAo@yZeMyNeYlOc]to@kk@`h@oD~Mu]hNeCzH`FFyElGfP`@rFnJcGkApEtGqR`H~BnGcRdS`DeHyPsGpAkJwCgB{ZpGaWxR}IgIiJ|EoI}Ikg@v[as@niAcFpRhCtMyE`BcB~YkEEaGrK~@fEyHtE,56.16,10827,Hills and more hills,0,0,FALSE,2,2016-07-28T07:04:46Z,2016-07-28T09:04:46Z,43.881313,43.881313,7.773323,7.773323,(GMT+01:00) Europe/Rome,2253.6,1,FALSE,Ride,723406677,723406677,7200,everyone,NA,NA,226.4,FALSE,NA,2451.6,NA,NA,NA,NA,10
9,1,16188172,1,17.6076,0,FALSE,FALSE,28.6471,6439,1093.5,370.3,43.880173,7.773916,CA011406-44B4-4008-9AF4-5B26512A93EE,FALSE,FALSE,FALSE,FALSE,FALSE,658694217,2,FALSE,a658694217,2,yoyjGwgmn@cB~MyBVw@eLcHhCwTl^yDfe@}G`MWfTiK|MeDaB`CpCgAzDuCyDNdTq@cFqOxBbIhG}E~TQiMsDyBdBjBoCnMbBrTkDrRsC|IWkQ{@pMyKvOfDbA?bEnFWwFnEmIsCzGtMoHmGhCtDqE_AtFzHqBbF`BtLl\_\na@mQhPtHjNo@A}JxNe^tKe@vEfHdEcLnDe@nCuQjJzGvA_SkD_WjP`PzH}RdJxGkJmGwB`NkExDiPsP~D|SuAjSyJeEoBvPeFpAuCfJgHeGgJjAiN~\f@hK}_@oGqc@dRsWzZ{E_E~B}LcGwIxJzCwGqM|HlC|FqFkFZgD_GrFcChFkYLnQpC_JrDeSq@gf@bDdCN`MbFuTuHkGzN{B~@xEOsS~CjDz@cEgCqBjD|@fKyMLgSbGiLxEgf@rJkSrQiNdArKxBKXqGhGcH,52.56,5857,Afternoon Hill Climb,0,2,FALSE,2,2016-07-30T14:49:29Z,2016-07-30T16:49:29Z,43.881097,43.881097,7.77356,7.77356,(GMT+01:00) Europe/Rome,1406.6,1,FALSE,Ride,726072302,726072302,7200,everyone,NA,NA,239.5,FALSE,NA,1402.6,NA,NA,NA,NA,10
7,1,16188172,1,22.3272,0,FALSE,FALSE,47.9885,8602,423.8,0,43.881066,7.773379,0E32B708-5C3C-4A5A-BC5B-202A78703363,FALSE,FALSE,FALSE,FALSE,FALSE,660681059,2,FALSE,a660681059,2,_qyjGmfmn@c@pDpOaM[qHpFiJ`E?lBcYtE}B{BiMdFkRxr@eiAzg@c\vHjJhJwEhJ~HjW}RnZwGhCxAgAtJpPhHsClHtQwRiB_H|Q}G_EeHnM`BjAgNrRb@zK_RpRoDhHe^bL}D|HmZrHsHfGsUtEcCiEjBzDgEzBjKUqJaFoEtBWnGrRyPj_@hA`DRkF~IoDmWt`AuEpy@t@jU\eDzOrb@aAlh@xGnp@j[rc@bFbi@n[ds@dGls@dUtf@~c@~xBmQ~yArRq_Bwf@guBqSmd@qE}o@{\qu@sE}i@o[ua@iHuq@rAif@{Qcm@nFueA~^msAa@yXmIyN}]bNu\bo@ik@dh@oDhNwZbI{EzLjE~@{EpFzPz@bFvI{Fa@~EhEyRnIvBhG}PvRxBiHcQuGvAsI}B{B_\lHiVhRgJeIiJxEmI}I}f@d\is@hiAcFhRdCxMkFfBoAtYsEQ_FhJd@~GePtMhA{D,74.88000000000001,7738,Hillside and Seaside,0,7,FALSE,2,2016-08-01T07:39:11Z,2016-08-01T09:39:11Z,43.881283,43.881283,7.773356,7.773356,(GMT+01:00) Europe/Rome,1287.4,2,FALSE,Ride,728684379,728684379,7200,everyone,NA,NA,207.2,FALSE,NA,1603.7,NA,NA,NA,NA,10
11,1,16188172,1,15.872399999999999,0,FALSE,FALSE,24.0557,6318,30.9,0,43.831771,7.851767,F0FF76F3-FBB3-4F08-9239-15AE2791F9FD,FALSE,FALSE,FALSE,FALSE,FALSE,665607692,0,FALSE,a665607692,2,}uojG}~{n@b[pm@`^tNxGjN`LhMxCdJk@~[iXpz@{CjQ{Fny@PzMfQrg@`@fLqBd[zGlp@vF`MlIxFlH|JnClNdBvZ~IpWhH|JrHvRlBtJrBrd@dVvh@vc@v{Ba@w@AhD`@oI}d@awBoUqg@mBac@qBiLe\yt@sEwi@cImLeMqKeCiGaHuq@fBaXO}MmN}^sBcMfFebA`Ie_@~Tor@[o[kY_e@uJoFwKkB_FsEa[gm@{C{N,39.6,5456,Afternoon Ride,0,0,FALSE,2,2016-08-05T11:16:21Z,2016-08-05T13:16:21Z,43.830875,43.830875,7.848953,7.848953,(GMT+01:00) Europe/Rome,183.3,0,FALSE,Ride,733995797,733995797,7200,everyone,NA,NA,74.1,FALSE,NA,404.5,NA,NA,NA,NA,10
0,1,16188172,1,3.366,0,FALSE,FALSE,7.2812,12386,1599.6,1005.6,44.031362,7.716763,63327C9B-2145-4200-B453-478CC57417BA,FALSE,FALSE,FALSE,FALSE,FALSE,668917358,1,FALSE,a668917358,2,{_wkGa`bn@qH|H}Lnb@mSfGwByCkAwKiN|@wBrFqHrCsBfKsKtF}GhKxARwAKlDsG|DiBiEnBeDdG`CHyBz@rD{InNqIvCcLtGwCnBeFlNgAxAlLxBbCbS}F~Ku`@hNsO,9.360000000000001,7790,Family Ramble,0,0,FALSE,2,2016-08-08T10:13:05Z,2016-08-08T12:13:05Z,44.032145,44.032145,7.716015,7.716015,(GMT+01:00) Europe/Rome,676.9,1,FALSE,Hike,737599591,737599591,7200,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,16188172,1,4.734,0,FALSE,FALSE,12.9466,13496,415.3,5.7,43.81688,7.827968,DDAAFB60-7615-450A-86DE-16E863E30864,FALSE,FALSE,FALSE,FALSE,FALSE,672126351,1,FALSE,a672126351,2,qqyjGkdmn@fCBQaEj@x@t@eEoAyDfC_@_AwIf@kFvGqNmA{UwAkBdEcBrGmW|A_Bx@{JlPoTwBiRzKgVj@uEhAIlHgWS{A`Hg@tByBdIbCfIsA|NqO^qGvD_BbD`Bf@~DrBnB`E_EbBH~@jMjAh@fIgITpDlCxCjTiHxCvH|EI~KwFk@oKjLzAbUuApGcLjGPhQ}IrDoN~JwEhSkSzAcFhI_GzVwc@fCuIlXaN_@iBhHnEjF~Jp@hV{@fHvAW,41.4,9842,Family hike to the beach,0,0,FALSE,2,2016-08-11T06:41:01Z,2016-08-11T08:41:01Z,43.881378,43.881378,7.773028,7.773028,(GMT+01:00) Europe/Rome,123.6,1,FALSE,Hike,741081364,741081364,7200,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,16188172,1,20.3076,2,FALSE,FALSE,40.6421,10512,423.4,1.4,43.880278,7.773883,94BDAF29-3B43-4B43-A438-1CEB27C915A5,FALSE,FALSE,FALSE,FALSE,FALSE,673284180,1,FALSE,a673284180,2,spyjGggmn@m@~D`CSdKoKAoIfFyIbEAxAcYbFsByBkN|F_S|h@o|@tU_WlIMzOsNvHxIpJsEvIxHfWsRt[}GpBxBmAxIpPvGkC|HvMyKbCwG{BuFbRwG{DcHpMdB`AaN~Rj@rJ}KN}ExSiEjB}RxD{IfKiC|BmOpNgTpGmVlEoElB`LYaLwEgDlHpEtAzJwM`Uw@~MdAqFjG@lK_[t@aK}FsQ}Xia@iZ_Lg\ep@aF}c@rDuBgAyJsFwFgi@`Is_@}IoOzAxCxKiCeKvS}@jBnFpTfBbl@yJfGvJN`I}Cz@zC|\hNp^rRjZ~[xMvXbd@V|[iYb~@{Fde@~Nw_A|GcRsJbDGxFcAcEbQg^oHeSeBx@~EdDTjK_BkKyEdEyGbWeMfQaDhQeLdDiGn]aTvEqKzQsRg@iArNwMoBpExGcRhHrBpGgQ`SlCiHkQaHzAqIwCaCg[~GiV~RiJgIgJvEqIeJeCxFyThGaAvEcKpEgr@`hAwFhS|BvMyEbBaBnYoECoFfKn@~FsHxD,43.92,7205,Quick trip to the hardware store...,0,8,FALSE,2,2016-08-12T08:24:36Z,2016-08-12T10:24:36Z,43.881229,43.881229,7.773483,7.773483,(GMT+01:00) Europe/Rome,1358.2,2,FALSE,Ride,742339824,742339824,7200,everyone,NA,NA,215.3,FALSE,NA,1551.4,NA,NA,NA,NA,10
5,2,16188172,1,11.336400000000001,0,FALSE,FALSE,4.8617,1564,17,-2.7,26.244034,50.591524,5582F0BD-7937-4D88-8EEA-6B8FE4CBC051,FALSE,FALSE,FALSE,FALSE,FALSE,838198181,1,FALSE,a838198181,2,ioe_DedxsH_r@}PoJaFqL{Q}AyUjDqCx[[~Y}HvFBxLvNrYpk@Q|MuEzE,15.48,1544,Bahrain by night. ,0,5,FALSE,2,2017-01-20T14:44:13Z,2017-01-20T17:44:13Z,26.247734,26.247734,50.591552,50.591552,(GMT+03:00) Asia/Bahrain,30.6,1,FALSE,Run,928364447,928364447,10800,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
5,1,16188172,1,8.380799999999999,0,FALSE,FALSE,2.5745,2163,949,898.8,31.953593,35.85719,3FF07FE3-1DCD-4671-BF17-BAD4928E6EE8,FALSE,FALSE,FALSE,FALSE,FALSE,904709894,0,FALSE,a904709894,2,ql}aEys{yEm@vBuH{@eDvD_R\KdEwFF_@dDmXgAaOnAf@pZfIvD@cC_EgG,14.4,1106,Lunch Run,0,0,FALSE,2,2017-03-04T10:26:22Z,2017-03-04T12:26:22Z,31.940738,31.940738,35.86382,35.86382,(GMT+02:00) Asia/Amman,10.9,0,FALSE,Run,1003868928,1003868928,7200,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,1,16188172,1,4.6296,0,FALSE,FALSE,4.6094,4379,669.7,630.8,32.001043,35.750846,E8259037-E27D-4ED2-8459-FC86F87B3E22,FALSE,FALSE,FALSE,FALSE,FALSE,943196337,2,FALSE,a943196337,2,qeibEkteyE`DiJh@}MxLHlD{A|@yDk@rDbJ`IWhJwBnGl@tLvKhK|CuAjAuEh@z@_Aa@w@dEmClAwKgKu@eLvBkHPkJiJuHwFxBkKMUbL}ChHEvD,13.32,3585,Afternoon Hike,0,0,FALSE,2,2017-04-15T12:13:23Z,2017-04-15T15:13:23Z,32.001056,32.001056,35.751264,35.751264,(GMT+02:00) Asia/Amman,100.8,1,FALSE,Hike,1043615145,1043615145,10800,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,16188172,1,4.9752,0,FALSE,FALSE,23.2186,21107,1903.8,952,33.772775,35.705293,A9B4124E-78CB-47E1-A1C8-800FD3491B1D,FALSE,FALSE,FALSE,FALSE,FALSE,960014783,2,FALSE,a960014783,2,{_}lEov{xEhCmBhEsQlCsPyAyCh@{GmHkF_D_HcLFhDaJcHuA}AqLeHsGd@qJgMyOoEaP@aKjByEvM|HxCmAbE{GzG`OgBxBEjCdDc@c@c@rByDiCuJLaMuEoKc@{K}CgInD_MdJkEdEfJpGuBfDnIhCdB}A}IJ{KgJiHiJcNvAyDkBiFvL}C~I~BjIzGdJCfAqEH~HmG`CoHwCaQWg@aBqB`CeD]IwAeA~CoDyDwNr@_@fDzGlExErOJpDyCbDSpCy@UiAfIdCrGt@fLpEfKc@rFx@~F{@WvA|CsHsK{E~JuClAgM_IaChEGvK~EvPvLdOg@hJ|EzDhFLBjCzEbLmA|E~AfCnGt@~BnGhH`Fy@xGfBzCsJ`d@gGhCcIi@eBvF`ExC_EcAy@sCoKbN{GfAgBkB{@bCcJyKsElDkUuVoEVgLcFsNsSaBVYnHcAn@oMcDmIhCqYmEkJbI}FkJ,20.88,16804,Shouf Hike,0,0,FALSE,2,2017-04-27T05:23:57Z,2017-04-27T08:23:57Z,33.740942,33.740942,35.7004,35.7004,(GMT+02:00) Asia/Beirut,1069.3,2,FALSE,Hike,1060904153,1060904153,10800,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,16188172,1,2.0664,0,FALSE,FALSE,5.0538,0,1091.8,960.5,31.940318,35.864069,FBA9A548-359F-48B7-A02F-77E2786C5968,FALSE,FALSE,FALSE,FALSE,FALSE,1026042044,0,FALSE,a1026042044,2,}x`xD{ojwE{@i@z@u@yAm@NeFsBoC~@mC}@o@\qA{HCjGYz@nEs@NfAq@iAqD{GjA~DmArDv@lAwAWoAv@r@nBoCvEcAtKmJrEcJCeGnDiFoIgEeDdAqHcFwDx@wKsE{DaGn@oHgBqIo_{HaplA,27.720000000000002,8802,Afternoon Run,0,0,FALSE,2,2017-05-26T13:32:45Z,2017-05-26T16:32:45Z,30.319678,30.319678,35.448464,35.448464,(GMT+02:00) Asia/Amman,268.9,0,FALSE,Run,1128987157,1128987157,10800,everyone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
